Estudo de Caso 1- Sistema de 3 barras;;;;;;;;;;;;;;;Estudo de Caso 5- Sistema de 30 barras;;;;;;;;;;;;
;DE;;;;DE+Curva;;;;Proposto;;;;;;;DE;;;;DE+Curva;;;;Proposto;;;
Relé;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;;;Relé;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva
R1;0.1;3;0.285;1;0.1005;2;0.0297;3;0.1005;2;0.0297;3;;;R1;0.05;2.6;0.2087;1;0.0501;2.61;0.1617;2;0.05;2.6;0.1535;3
R2;0.1;1.5;0.2094;1;0.1;1.5;0.0124;3;0.1;1.5;0.0124;3;;;R2;0.05;2.72;0.207;1;0.0507;2.72;0.16;2;0.05;2.73;0.1503;3
R3;0.1;2.5;0.241;1;0.1563;1.5;0.0159;3;0.1563;1.5;0.0159;3;;;R3;0.05;3.64;0.2381;1;0.0501;3.64;0.2385;1;0.05;3.65;0.2079;2
R4;0.1;2.5;0.2738;1;0.1393;1.5;0.0275;3;0.1393;1.5;0.0275;3;;;R4;0.05;3.27;0.2119;1;0.0501;3.28;0.1628;3;0.05;3.27;0.1614;3
R5;0.1;1.5;0.2106;1;0.1;1.5;0.0128;3;0.1;1.5;0.0128;3;;;R5;0.05;2.87;0.2173;1;0.0516;2.87;0.1795;2;0.05;2.87;0.1739;2
R6;0.1;2;0.2845;1;0.1;1.5;0.0371;3;0.1;1.5;0.0371;3;;;R6;0.05;1.99;0.1717;1;0.0522;1.99;0.0783;3;0.05;1.99;0.075;3
;;;;;;;;;;;;;;;R7;0.0684;4.05;0.3758;1;0.056;3.59;0.2548;2;0.0529;3.55;0.237;2
;;;;;;;;;;;;;;;R8;0.05;3.53;0.2457;1;0.0841;2.02;0.1352;3;0.0566;2.23;0.1113;3
Estudo de Caso 2- Sistema de 8 barras;;;;;;;;;;;;;;;R9;0.05;3.45;0.223;1;0.0501;3.45;0.1834;2;0.05;3.45;0.1829;2
;DE;;;;DE+Curva;;;;Proposto;;;;;;R10;0.05;2.87;0.2215;1;0.0502;2.87;0.1873;3;0.05;2.87;0.1806;2
Relé;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;;;R11;0.05;3.02;0.2022;1;0.05;3.02;0.1505;2;0.05;3.02;0.1376;3
R1;0.1;2.3;0.3891;1;0.1002;1;0.0444;3;0.1188;0.9;0.0426;3;;;R12;0.05;1.93;0.171;1;0.0504;1.93;0.0744;3;0.05;1.93;0.0738;3
R2;0.258;2.5;0.7709;1;0.3159;2.1;0.1843;3;0.2037;2.5;0.1689;3;;;R13;0.05;3.75;0.255;1;0.0576;2.4;0.1292;3;0.0583;2.3;0.12;3
R3;0.2224;2.5;0.6971;1;0.282;2.1;0.2032;3;0.1732;2.5;0.1776;3;;;R14;0.05;4.15;0.2569;1;0.0752;2.25;0.1226;3;0.0522;2.38;0.0954;3
R4;0.1574;2.5;0.5873;1;0.1818;1.7;0.1712;3;0.1071;2.1;0.1548;3;;;R15;0.05;3.09;0.2169;1;0.0521;2.5;0.117;3;0.05;2.49;0.1114;3
R5;0.1;2.4;0.4834;1;0.105;1.1;0.1028;3;0.1174;1;0.0948;3;;;R16;0.05;2.55;0.204;1;0.0505;2.55;0.1548;2;0.05;2.55;0.1418;3
R6;0.1686;2.5;0.4969;1;0.1741;2.1;0.0955;3;0.12;2.5;0.0935;3;;;R17;0.05;2.54;0.201;1;0.0501;2.55;0.1363;3;0.05;2.54;0.1349;3
R7;0.2413;2.5;0.6406;1;0.192;2.1;0.0638;3;0.125;2.5;0.059;3;;;R18;0.05;3.63;0.2793;1;0.0696;2.15;0.1693;3;0.05;2.17;0.124;3
